Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,DrblTkl,DrblCh,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,26.4,45,18,16,22,7,15,46,32.6,31,43,3,40,5,50,6,1
George Abbott,eng ENG,MF,Tottenham,16,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Che Adams,sct SCO,FW,Southampton,26,1996,22.1,17,13,7,8,2,7,12,58.3,5,13,4,9,4,21,22,0
Tyler Adams,us USA,MF,Leeds United,23,1999,24.0,89,46,44,35,10,50,77,64.9,27,48,8,40,35,124,29,0
Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,23.2,30,13,22,6,2,16,23,69.6,7,20,15,5,26,56,140,1
Nayef Aguerd,ma MAR,DF,West Ham,26,1996,17.7,27,18,18,8,1,13,20,65.0,7,26,24,2,18,45,79,2
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,1.0,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0
Rayan Aït Nouri,dz ALG,DF,Wolves,21,2001,12.0,33,20,25,7,1,9,15,60.0,6,3,0,3,9,42,28,0
Kristoffer Ajer,no NOR,DF,Brentford,24,1998,8.5,11,8,5,4,2,9,16,56.3,7,6,5,1,7,18,22,0
Manuel Akanji,ch SUI,DF,Manchester City,27,1995,25.4,36,25,15,18,3,23,36,63.9,13,27,9,18,16,52,33,0
Nathan Aké,nl NED,DF,Manchester City,27,1995,20.8,26,12,15,9,2,11,15,73.3,4,20,10,10,20,46,48,0
Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,2.6,4,1,0,2,2,1,8,12.5,7,6,2,4,1,5,5,0
Thiago Alcántara,es ESP,MF,Liverpool,31,1991,13.9,43,24,20,21,2,14,23,60.9,9,15,3,12,21,64,13,2
Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,11.4,10,5,2,7,1,6,22,27.3,16,14,5,9,1,11,11,0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,32.5,57,40,32,16,9,42,79,53.2,37,25,7,18,43,100,41,2
Alisson,br BRA,GK,Liverpool,29,1992,37.0,0,0,0,0,0,0,3,0.0,3,3,0,3,0,0,20,0
Dele Alli,eng ENG,MF,Everton,26,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,27.7,46,30,16,19,11,18,42,42.9,24,25,2,23,10,56,17,0
Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,16.3,26,16,3,13,10,9,29,31.0,20,13,0,13,2,28,6,0
Daniel Amartey,gh GHA,DF,Leicester City,27,1994,17.9,19,8,13,5,1,12,14,85.7,2,24,17,7,8,27,71,0
Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,30.9,42,22,30,12,0,16,32,50.0,16,28,13,15,24,66,188,0
Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,2002,4.6,11,5,5,3,3,6,12,50.0,6,11,2,9,6,17,2,0
Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,1999,14.0,30,17,15,9,6,8,24,33.3,16,30,3,27,10,40,19,0
Michail Antonio,jm JAM,FW,West Ham,32,1990,20.3,14,7,1,8,5,3,12,25.0,9,13,5,8,5,19,9,0
Antony,br BRA,FW,Manchester Utd,22,2000,20.0,22,9,9,9,4,8,28,28.6,20,18,0,18,11,33,6,0
Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,2001,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alphonse Areola,fr FRA,GK,West Ham,29,1993,3.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Joe Aribo,ng NGA,"MF,FW",Southampton,26,1996,13.6,31,20,15,12,4,11,20,55.0,9,14,1,13,10,41,11,0
Adam Armstrong,eng ENG,"FW,MF",Southampton,25,1997,14.8,14,9,6,5,3,3,10,30.0,7,15,3,12,5,19,6,0
Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,1992,15.6,32,21,15,13,4,14,39,35.9,25,18,0,18,10,42,9,1
Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,28.5,2,2,2,0,0,2,3,66.7,1,0,0,0,1,3,16,2
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,6.2,1,0,1,0,0,0,1,0.0,1,2,0,2,2,3,4,2
Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,0.9,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
Serge Aurier,ci CIV,DF,Nott'ham Forest,29,1992,21.6,64,41,41,18,5,23,33,69.7,10,34,11,23,29,93,75,0
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,1997,15.6,17,10,2,10,5,6,10,60.0,4,18,4,14,4,21,20,0
Yasin Ayari,se SWE,MF,Brighton,18,2003,0.7,2,2,1,1,0,0,4,0.0,4,1,0,1,0,2,0,0
André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,1989,3.5,5,3,0,4,1,2,4,50.0,2,6,1,5,0,5,7,0
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,1991,30.2,66,41,23,20,23,21,53,39.6,32,35,4,31,15,81,31,0
Luke Ayling,eng ENG,DF,Leeds United,30,1991,22.8,66,37,42,15,9,42,85,49.4,43,34,11,23,26,92,52,2
César Azpilicueta,es ESP,DF,Chelsea,32,1989,17.0,43,25,23,15,5,22,37,59.5,15,26,5,21,19,62,54,1
Benoît Badiashile,fr FRA,DF,Chelsea,21,2001,10.1,14,8,10,4,0,9,14,64.3,5,5,2,3,16,30,34,1
Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,1997,21.9,14,6,6,7,1,5,20,25.0,15,13,0,13,6,20,12,0
Stefan Bajcetic,es ESP,MF,Liverpool,17,2004,5.8,9,6,5,3,1,8,27,29.6,19,7,0,7,9,18,4,0
Dominic Ballard,eng ENG,"FW,MF",Southampton,17,2005,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Patrick Bamford,eng ENG,FW,Leeds United,28,1993,16.8,9,6,0,6,3,4,20,20.0,16,12,5,7,5,14,13,0
Shandon Baptiste,gd GRN,MF,Brentford,24,1998,6.9,15,9,6,6,3,7,17,41.2,10,10,2,8,7,22,10,0
Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,1997,30.1,26,14,8,14,4,14,42,33.3,28,32,1,31,8,34,12,0
Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,24,2
Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Jan Bednarek,pl POL,DF,Southampton,26,1996,18.6,27,21,20,7,0,12,16,75.0,4,38,27,11,49,76,87,0
Jan Bednarek,pl POL,DF,Aston Villa,26,1996,1.1,3,3,0,3,0,1,1,100.0,0,3,1,2,2,5,5,0
Donny van de Beek,nl NED,MF,Manchester Utd,25,1997,1.9,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,1,0
Asmir Begović,ba BIH,GK,Everton,35,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Armel Bella Kotchap,de GER,DF,Southampton,20,2001,20.9,37,17,28,9,0,15,20,75.0,5,29,12,17,44,81,110,0
Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,1995,23.0,25,15,11,7,7,11,27,40.7,16,23,1,22,9,34,13,0
Rodrigo Bentancur,uy URU,MF,Tottenham,25,1997,16.7,45,28,15,21,9,16,28,57.1,12,28,15,13,20,65,22,0
Daniel Bentley,eng ENG,GK,Wolves,29,1993,2.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,2002,9.9,38,23,18,16,4,22,30,73.3,8,16,4,12,3,41,26,0
Owen Bevan,wls WAL,DF,Bournemouth,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,2000,0.2,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0
Philip Billing,dk DEN,"MF,FW",Bournemouth,26,1996,30.7,63,36,21,33,9,11,40,27.5,29,48,8,40,31,94,58,1
Yves Bissouma,ml MLI,MF,Tottenham,25,1996,11.2,16,13,6,6,4,2,7,28.6,5,15,6,9,12,28,10,0
Willy Boly,ci CIV,DF,Nott'ham Forest,31,1991,7.6,13,6,8,3,2,8,13,61.5,5,13,4,9,12,25,45,0
Sven Botman,nl NED,DF,Newcastle Utd,22,2000,34.7,38,24,31,7,0,22,28,78.6,6,44,24,20,34,72,126,2
Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,1996,35.9,39,16,14,11,14,16,57,28.1,41,47,9,38,36,75,25,0
James Bree,eng ENG,DF,Southampton,24,1997,4.1,5,3,4,1,0,3,4,75.0,1,3,1,2,6,11,11,0
Armando Broja,al ALB,FW,Chelsea,20,2001,3.3,4,1,0,3,1,1,1,100.0,0,10,1,9,1,5,1,0
David Brooks,wls WAL,"FW,MF",Bournemouth,25,1997,1.9,1,0,1,0,0,0,1,0.0,1,2,0,2,2,3,5,0
Lewis Brunt,eng ENG,DF,Leicester City,21,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,1996,26.8,52,23,20,20,12,21,74,28.4,53,20,2,18,20,72,17,0
Hugo Bueno,es ESP,DF,Wolves,19,2002,14.6,33,16,23,6,4,17,33,51.5,16,14,1,13,10,43,36,0
Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,2004,6.3,2,1,1,1,0,1,22,4.5,21,5,2,3,4,6,3,0
Dan Burn,eng ENG,DF,Newcastle Utd,30,1992,34.6,60,38,29,23,8,34,67,50.7,33,42,16,26,32,92,120,2
Cafú,pt POR,MF,Nott'ham Forest,29,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Moisés Caicedo,ec ECU,MF,Brighton,20,2001,34.9,100,50,41,47,12,40,68,58.8,28,43,7,36,56,156,31,3
Tom Cairney,sct SCO,MF,Fulham,31,1991,11.0,17,6,4,8,5,7,10,70.0,3,18,3,15,5,22,3,0
Duje Ćaleta-Car,hr CRO,DF,Southampton,25,1996,10.5,14,10,9,4,1,6,9,66.7,3,15,11,4,15,29,65,1
Dominic Calvert-Lewin,eng ENG,FW,Everton,25,1997,12.9,4,2,1,0,3,1,5,20.0,4,5,1,4,3,7,18,0
Chem Campbell,wls WAL,"FW,MF",Wolves,19,2002,0.8,2,1,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0
João Cancelo,pt POR,DF,Manchester City,28,1994,14.2,29,21,16,9,4,17,24,70.8,7,7,1,6,19,48,9,1
Thomas Cannon,ie IRL,FW,Everton,19,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sergi Canós,es ESP,"FW,DF",Brentford,25,1997,0.9,0,0,0,0,0,0,2,0.0,2,3,1,2,0,0,1,0
Diego Carlos,br BRA,DF,Aston Villa,29,1993,2.3,1,0,0,1,0,0,1,0.0,1,2,2,0,1,2,2,0
Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,2002,3.9,8,8,3,3,2,3,6,50.0,3,6,0,6,6,14,0,0
Casemiro,br BRA,MF,Manchester Utd,30,1992,23.6,89,46,43,35,11,48,92,52.2,44,49,11,38,34,123,64,0
Matty Cash,pl POL,DF,Aston Villa,24,1997,20.2,55,32,36,15,4,26,37,70.3,11,20,5,15,26,81,43,0
Timothy Castagne,be BEL,DF,Leicester City,26,1995,36.2,87,44,53,27,7,41,84,48.8,43,50,13,37,43,130,110,0
Jonny Castro,es ESP,DF,Wolves,28,1994,14.0,34,15,23,10,1,18,37,48.6,19,26,5,21,14,48,28,2
Julio César Enciso,py PAR,"FW,MF",Brighton,18,2004,9.0,13,4,3,6,4,8,13,61.5,5,9,0,9,4,17,2,0
Nathaniel Chalobah,eng ENG,MF,Fulham,27,1994,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
Trevoh Chalobah,eng ENG,DF,Chelsea,23,1999,17.9,31,20,22,6,3,24,34,70.6,10,17,7,10,24,55,56,1
Calum Chambers,eng ENG,"DF,MF",Aston Villa,27,1995,3.9,9,6,7,2,0,6,8,75.0,2,5,4,1,7,16,10,1
Shea Charles,nir NIR,DF,Manchester City,18,2003,0.3,4,0,4,0,0,1,1,100.0,0,0,0,0,1,5,2,0
Ben Chilwell,eng ENG,"DF,MF",Chelsea,25,1996,15.6,21,17,12,8,1,13,25,52.0,12,21,2,19,18,39,26,0
Ryan Christie,sct SCO,"MF,FW",Bournemouth,27,1995,20.4,34,22,10,23,1,14,49,28.6,35,16,4,12,26,60,20,0
Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,18,2003,3.9,13,7,7,6,0,3,5,60.0,2,7,0,7,6,19,1,0
Bobby Clark,eng ENG,MF,Liverpool,17,2005,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,1991,18.2,27,16,13,9,5,14,23,60.9,9,22,4,18,19,46,34,0
Conor Coady,eng ENG,DF,Everton,29,1993,23.3,14,9,8,6,0,7,15,46.7,8,21,17,4,14,28,88,3
Jack Colback,eng ENG,MF,Nott'ham Forest,32,1989,5.5,18,13,12,6,0,5,8,62.5,3,3,0,3,3,21,9,0
Séamus Coleman,ie IRL,DF,Everton,33,1988,18.4,35,26,21,10,4,19,29,65.5,10,14,7,7,22,57,58,2
Nathan Collins,ie IRL,DF,Wolves,21,2001,20.2,27,15,19,8,0,15,24,62.5,9,35,28,7,21,48,84,0
Levi Colwill,eng ENG,DF,Brighton,19,2003,13.6,8,7,4,4,0,4,9,44.4,5,5,3,2,15,23,37,1
Lewis Cook,eng ENG,MF,Bournemouth,25,1997,19.1,37,22,10,22,5,18,42,42.9,24,29,10,19,23,60,31,0
Steve Cook,eng ENG,DF,Nott'ham Forest,31,1991,10.6,8,4,4,4,0,5,7,71.4,2,16,11,5,12,20,51,0
Liam Cooper,sct SCO,DF,Leeds United,30,1991,15.8,38,23,27,9,2,23,36,63.9,13,16,8,8,34,72,57,3
Maxwel Cornet,ci CIV,FW,West Ham,25,1996,2.7,7,3,5,0,2,4,6,66.7,2,6,0,6,2,9,3,0
Diego Costa,es ESP,FW,Wolves,33,1988,13.8,3,1,3,0,0,2,9,22.2,7,6,1,5,2,5,17,0
Vladimír Coufal,cz CZE,DF,West Ham,29,1992,23.7,58,31,37,15,6,36,51,70.6,15,24,6,18,38,96,70,0
Philippe Coutinho,br BRA,"MF,FW",Aston Villa,30,1992,8.8,19,14,8,8,3,9,15,60.0,6,11,1,10,4,23,2,0
Conor Coventry,ie IRL,"MF,FW",West Ham,22,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matthew Craig,sct SCO,MF,Tottenham,19,2003,0.2,4,1,2,2,0,0,0,,0,0,0,0,0,4,0,0
Aaron Cresswell,eng ENG,DF,West Ham,32,1989,24.8,21,11,12,7,2,12,31,38.7,19,21,11,10,27,48,56,0
Marc Cucurella,es ESP,DF,Chelsea,24,1998,18.6,66,33,40,15,11,30,60,50.0,30,28,8,20,16,82,48,1
Matheus Cunha,br BRA,FW,Wolves,23,1999,10.7,7,4,0,5,2,2,10,20.0,8,15,3,12,9,16,11,0
Patson Daka,zm ZAM,FW,Leicester City,23,1998,13.2,14,8,6,8,0,3,12,25.0,9,14,2,12,7,21,7,0
Diogo Dalot,pt POR,DF,Manchester Utd,23,1999,23.9,54,41,40,13,1,33,45,73.3,12,25,7,18,37,91,55,2
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,22,2000,11.0,31,21,13,13,5,15,42,35.7,27,20,2,18,10,41,14,0
Danilo,br BRA,MF,Nott'ham Forest,21,2001,10.8,18,7,7,9,2,6,25,24.0,19,26,6,20,9,27,19,0
Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,1997,1.9,2,0,1,1,0,0,0,,0,1,0,1,0,2,0,0
Josh Dasilva,eng ENG,MF,Brentford,23,1998,15.4,18,9,6,6,6,6,16,37.5,10,22,6,16,5,23,7,1
Ben Davies,wls WAL,DF,Tottenham,29,1993,25.4,28,11,13,13,2,14,26,53.8,12,17,8,9,18,46,72,0
Tom Davies,eng ENG,MF,Everton,24,1998,6.0,15,9,5,9,1,7,14,50.0,7,10,1,9,4,19,7,1
Craig Dawson,eng ENG,DF,West Ham,32,1990,8.0,10,6,8,2,0,4,6,66.7,2,9,6,3,6,16,26,0
Craig Dawson,eng ENG,DF,Wolves,32,1990,15.7,9,6,6,3,0,4,7,57.1,3,31,23,8,12,21,74,2
Kevin De Bruyne,be BEL,MF,Manchester City,31,1991,26.9,28,12,3,12,13,14,39,35.9,25,27,2,25,9,37,10,0
Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,1996,1.2,3,1,2,1,0,0,1,0.0,1,1,0,1,1,4,1,0
Leander Dendoncker,be BEL,MF,Aston Villa,27,1995,7.7,19,9,11,6,2,11,21,52.4,10,19,4,15,10,29,12,0
Leander Dendoncker,be BEL,MF,Wolves,27,1995,2.4,4,2,0,3,1,2,3,66.7,1,2,0,2,9,13,4,0
Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,1997,8.0,17,11,5,5,7,8,17,47.1,9,13,1,12,2,19,6,0
Halil Dervişoğlu,tr TUR,MF,Brentford,22,1999,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,1998,25.6,53,29,14,34,5,19,47,40.4,28,55,13,42,28,81,21,0
Ibrahima Diallo,fr FRA,MF,Southampton,23,1999,9.1,25,15,14,10,1,8,14,57.1,6,11,1,10,6,31,11,0
Rúben Dias,pt POR,DF,Manchester City,25,1997,22.2,21,13,10,10,1,11,18,61.1,7,21,13,8,18,39,56,1
Luis Díaz,co COL,FW,Liverpool,25,1997,11.1,17,11,4,8,5,8,15,53.3,7,8,0,8,6,23,2,0
Eric Dier,eng ENG,DF,Tottenham,28,1994,31.3,30,19,16,12,2,9,19,47.4,10,41,24,17,35,65,112,2
Lucas Digne,fr FRA,DF,Aston Villa,29,1993,16.7,30,12,20,9,1,20,33,60.6,13,18,5,13,18,48,45,0
Issa Diop,fr FRA,DF,Fulham,25,1997,22.4,28,19,18,9,1,17,32,53.1,15,24,17,7,35,63,86,0
Moussa Djenepo,ml MLI,"DF,FW",Southampton,24,1998,7.9,19,11,13,5,1,11,26,42.3,15,19,2,17,11,30,7,0
Ben Doak,sct SCO,FW,Liverpool,16,2005,0.3,3,2,1,2,0,1,1,100.0,0,1,0,1,0,3,0,0
Matt Doherty,ie IRL,"DF,MF",Tottenham,30,1992,7.4,16,10,12,3,1,8,10,80.0,2,11,6,5,8,24,14,1
Gabriel Dos Santos,br BRA,DF,Arsenal,24,1997,37.9,48,30,29,15,4,18,27,66.7,9,49,26,23,32,80,125,2
Abdoulaye Doucouré,ml MLI,MF,Everton,29,1993,17.0,31,20,9,15,7,12,37,32.4,25,26,3,23,13,44,11,0
Cheick Doucouré,ml MLI,MF,Crystal Palace,22,2000,30.8,77,46,40,33,4,29,52,55.8,23,47,13,34,56,133,48,0
Flynn Downes,eng ENG,MF,West Ham,23,1999,8.5,16,9,4,10,2,6,12,50.0,6,15,2,13,7,23,6,0
Kami Doyle,eng ENG,MF,Southampton,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cody Drameh,eng ENG,DF,Leeds United,20,2001,0.8,5,4,0,4,1,2,3,66.7,1,0,0,0,1,6,1,0
Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1989,1.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Shane Duffy,ie IRL,"DF,FW",Fulham,30,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Lewis Dunk,eng ENG,DF,Brighton,30,1991,36.0,30,19,19,9,2,18,41,43.9,23,37,27,10,34,64,81,1
Jhon Durán,co COL,"FW,MF",Aston Villa,18,2003,1.5,2,2,0,1,1,1,4,25.0,3,0,0,0,2,4,2,0
Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,18,2003,0.4,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0
Ederson,br BRA,GK,Manchester City,28,1993,35.0,3,1,3,0,0,1,2,50.0,1,0,0,0,1,4,10,2
Odsonne Édouard,fr FRA,FW,Crystal Palace,24,1998,20.0,25,13,7,12,6,7,13,53.8,6,17,5,12,3,28,22,0
Samuel Edozie,eng ENG,"FW,MF",Southampton,19,2003,6.3,17,10,6,10,1,3,8,37.5,5,7,0,7,6,23,6,0
Anthony Elanga,se SWE,FW,Manchester Utd,20,2002,4.7,3,0,0,2,1,1,2,50.0,1,4,0,4,2,5,4,0
Harvey Elliott,eng ENG,"MF,FW",Liverpool,19,2003,17.9,27,18,6,12,9,9,36,25.0,27,26,1,25,15,42,8,0
Mohamed Elneny,eg EGY,MF,Arsenal,30,1992,1.3,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,27,1994,24.1,46,28,22,20,4,19,43,44.2,24,40,3,37,27,73,37,0
Emerson,br BRA,DF,Tottenham,23,1999,19.3,54,33,38,12,4,27,40,67.5,13,17,3,14,18,72,75,0
Christian Eriksen,dk DEN,MF,Manchester Utd,30,1992,22.8,22,18,10,7,5,10,32,31.3,22,23,9,14,11,33,20,1
Pervis Estupiñán,ec ECU,DF,Brighton,24,1998,29.7,61,31,36,19,6,35,60,58.3,25,30,8,22,37,98,37,1
Jonny Evans,nir NIR,DF,Leicester City,34,1988,11.7,13,5,12,1,0,7,11,63.6,4,15,11,4,18,31,51,0
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,24,1998,29.3,42,24,17,18,7,18,38,47.4,20,22,0,22,13,55,10,0
Łukasz Fabiański,pl POL,GK,West Ham,37,1985,34.6,2,0,2,0,0,1,2,50.0,1,1,0,1,0,2,10,1
Fabinho,br BRA,MF,Liverpool,28,1993,29.7,65,38,18,40,7,24,62,38.7,38,38,11,27,37,102,40,0
Wout Faes,be BEL,DF,Leicester City,24,1998,31.0,56,33,28,26,2,28,44,63.6,16,53,37,16,41,97,113,2
Felipe,br BRA,DF,Nott'ham Forest,33,1989,15.8,42,23,29,13,0,24,41,58.5,17,34,13,21,36,78,90,0
João Félix,pt POR,"FW,MF",Chelsea,22,1999,10.5,14,7,5,6,3,4,12,33.3,8,3,0,3,1,15,1,1
Evan Ferguson,ie IRL,FW,Brighton,17,2004,10.6,6,3,1,3,2,1,7,14.3,6,11,1,10,2,8,6,0
Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,27,1994,36.8,68,42,24,25,19,30,71,42.3,41,37,5,32,25,93,40,1
Enzo Fernández,ar ARG,MF,Chelsea,21,2001,17.2,45,27,25,17,3,21,56,37.5,35,32,2,30,16,61,12,1
Roberto Firmino,br BRA,"FW,MF",Liverpool,30,1991,13.5,17,12,2,12,3,4,21,19.0,17,16,1,15,7,24,2,0
Junior Firpo,es ESP,DF,Leeds United,25,1996,15.2,47,25,27,15,5,24,46,52.2,22,23,7,16,24,71,40,0
Phil Foden,eng ENG,FW,Manchester City,22,2000,20.5,16,10,9,5,2,8,19,42.1,11,25,2,23,5,21,12,0
Datro Fofana,ci CIV,FW,Chelsea,19,2002,0.8,3,1,1,1,1,1,1,100.0,0,1,0,1,0,3,0,0
Wesley Fofana,fr FRA,DF,Leicester City,21,2000,2.0,4,2,1,2,1,1,3,33.3,2,1,1,0,9,13,5,0
Wesley Fofana,fr FRA,DF,Chelsea,21,2000,13.1,30,18,19,7,4,13,26,50.0,13,17,10,7,20,50,33,2
Pablo Fornals,es ESP,"FW,MF",West Ham,26,1996,16.7,30,15,9,12,9,13,34,38.2,21,16,2,14,14,44,9,0
Adam Forshaw,eng ENG,MF,Leeds United,30,1991,5.3,12,9,5,7,0,7,17,41.2,10,9,1,8,4,16,2,0
Fraser Forster,eng ENG,GK,Tottenham,34,1988,13.5,1,0,1,0,0,0,0,,0,1,0,1,0,1,3,1
Tyrese Francois,au AUS,FW,Fulham,22,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ryan Fraser,sct SCO,FW,Newcastle Utd,28,1994,3.5,2,2,0,0,2,2,5,40.0,3,3,1,2,0,2,3,0
Fred,br BRA,MF,Manchester Utd,29,1993,13.9,47,30,24,20,3,15,38,39.5,23,38,2,36,19,66,19,0
Ryan Fredericks,eng ENG,DF,Bournemouth,29,1992,5.9,3,2,2,0,1,1,4,25.0,3,7,2,5,1,4,27,0
Remo Freuler,ch SUI,MF,Nott'ham Forest,30,1992,24.0,43,23,23,15,5,19,43,44.2,24,36,9,27,29,72,45,0
